127.0.0.1 - - [08/Aug/2023:09:50:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:13:23 +0530] "GET /candidateEvaluationApplication/candEvalApp/report/generateReportByEvaluator/Mohan%20Kumar HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:14:57 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:14:57 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/main.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:14:57 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:14:57 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap-icons.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:15:09 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:15:09 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:26 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:26 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/main.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:26 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:26 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap-icons.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:32 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:32 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62894
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:21:39 +0530] "GET /candidateEvaluationApplication/candEvalApp/report/generateReportByEvaluator/Rahul%20Reddy HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:24:10 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:24:10 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:24:10 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/main.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:24:10 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap-icons.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:24:17 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:24:17 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62894
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:24:23 +0530] "GET /candidateEvaluationApplication/candEvalApp/report/generateReportByEvaluator/Shalini%20Deshmukh HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:29:16 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:29:16 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/main.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:29:16 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:29:16 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap-icons.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:29:25 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:29:25 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:29:31 +0530] "GET /candidateEvaluationApplication/candEvalApp/report/generateReportByEvaluator/Divya%20Sharma HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:31:48 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/1 HTTP/1.1" 200 12412
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:32:09 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:32:12 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:32:14 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/4 HTTP/1.1" 200 12207
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:32:23 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:32:27 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:32:27 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:33:07 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/3 HTTP/1.1" 200 12164
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:33:07 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:33:07 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:34:28 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/3 HTTP/1.1" 200 12172
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:34:28 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:34:28 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:36:36 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/3 HTTP/1.1" 200 12163
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:36:36 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:36:36 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/bootstrap.min.css.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:37:21 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:37:23 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/9 HTTP/1.1" 200 11950
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:37:26 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:37:28 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/14 HTTP/1.1" 200 11776
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:37:30 +0530] "GET /candidateEvaluationApplication/candEvalApp/feedback/feedback-form/14? HTTP/1.1" 200 11045
